player,team,position,height,weight,age,experience,college,salary,games,minutes,points3,points2,points1,points,rebounds,assists,steals,blocks,turnovers,fouls
Alfonzo McKinnie,TOR,SF,80,215,25,0,University of Wisconsin-Green Bay,815615,14,53,3,5,2,21,7,1,1,1,3,8
C.J. Miles,TOR,SF,78,225,30,12,,7936509,70,1337,164,63,81,699,152,55,37,21,39,134
Delon Wright,TOR,PG,77,183,25,2,University of Utah,1645200,69,1433,56,145,97,555,198,200,72,33,78,81
DeMar DeRozan,TOR,SG,79,221,28,8,University of Southern California,27739975,80,2711,89,556,461,1840,315,417,85,22,175,151
Fred VanVleet,TOR,PG,72,195,23,1,Wichita State University,1312611,76,1520,108,124,84,656,184,243,68,19,74,130
Jakob Poeltl,TOR,C,84,248,22,1,University of Utah,2825640,82,1524,1,252,60,567,393,57,39,100,85,212
Jonas Valanciunas,TOR,C,84,265,25,5,,15460675,77,1727,30,360,170,980,660,81,29,69,115,192
Kyle Lowry,TOR,PG,72,205,31,11,Villanova University,28703704,78,2510,238,165,223,1267,434,537,85,19,183,192
Lorenzo Brown,TOR,PG,77,189,27,3,North Carolina State University,0,14,139,2,12,2,32,15,13,5,0,3,7
Lucas Nogueira,TOR,C,84,241,25,3,,2947305,49,418,5,44,19,122,87,22,23,43,16,49
Malachi Richardson,TOR,SG,78,205,22,1,Syracuse University,1504560,1,5,0,1,0,2,1,0,0,0,0,0
Malcolm Miller,TOR,SF,79,210,24,0,College of the Holy Cross,0,15,126,8,5,4,38,15,3,1,2,5,10
Nigel Hayes,TOR,SF,80,254,23,0,University of Wisconsin,92160,2,6,2,0,0,6,0,0,0,0,1,0
Norman Powell,TOR,SG,76,215,24,2,"University of California, Los Angeles",1471382,70,1062,53,97,32,385,119,89,37,16,66,111
OG Anunoby,TOR,SF,80,232,20,0,Indiana University,1645200,74,1481,73,90,39,438,184,55,52,14,45,130
Pascal Siakam,TOR,PF,81,230,23,1,New Mexico State University,1312611,81,1679,29,224,54,589,364,159,62,42,67,166
Serge Ibaka,TOR,PF,82,235,28,8,,20061729,76,2093,107,272,94,959,478,62,29,99,90,209
Abdel Nader,BOS,SF,78,230,24,0,"Northern Illinois University, Iowa State University",1167333,48,522,23,27,23,146,71,26,15,10,34,45
Al Horford,BOS,C,82,245,31,10,University of Florida,27734405,72,2277,97,271,94,927,530,339,43,78,132,138
Aron Baynes,BOS,C,82,260,31,5,Washington State University,4328000,81,1485,3,207,59,482,434,93,22,51,80,200
Daniel Theis,BOS,C,81,215,25,0,,815615,63,936,18,108,61,331,274,56,30,48,56,157
Gordon Hayward,BOS,SF,80,226,27,7,Butler University,29727900,1,5,0,1,0,2,1,0,0,0,0,1
Greg Monroe,BOS,C,83,265,27,7,Georgetown University,5.00E+06,26,496,0,105,55,265,165,59,28,17,48,48
Guerschon Yabusele,BOS,PF,79,260,22,0,,2247480,33,235,12,14,15,79,52,16,4,5,12,23
Jabari Bird,BOS,SG,78,197,23,0,University of California,0,13,115,3,12,6,39,19,8,3,1,8,7
Jarell Eddie,BOS,SF,79,218,26,2,Virginia Polytechnic Institute and State University,83129,2,6,0,0,0,0,1,0,1,0,0,0
Jaylen Brown,BOS,SG,79,225,21,1,University of California,4956480,70,2152,121,252,150,1017,346,114,70,26,124,181
Jayson Tatum,BOS,SF,80,205,19,0,Duke University,5645400,80,2438,105,292,213,1112,402,128,83,58,114,170
Jonathan Gibson,BOS,PG,74,185,30,1,New Mexico State University,44495,4,40,6,8,0,34,3,4,0,0,3,5
Kadeem Allen,BOS,PG,75,192,25,0,University of Arizona,0,18,107,0,6,7,19,11,12,3,2,9,15
Kyrie Irving,BOS,PG,75,193,25,6,Duke University,18868625,60,1931,166,368,232,1466,227,306,65,17,140,122
Marcus Morris,BOS,PF,81,235,28,6,University of Kansas,5.00E+06,54,1447,86,176,124,734,289,72,35,12,65,100
Marcus Smart,BOS,SG,76,220,23,3,Oklahoma State University,4538020,54,1614,75,114,97,550,189,259,71,23,129,133
Semi Ojeleye,BOS,PF,79,241,23,0,Southern Methodist University,1291892,73,1150,40,25,25,195,161,20,21,4,25,91
Shane Larkin,BOS,PG,71,175,25,3,University of Miami,1471382,54,775,31,53,32,231,92,98,29,2,33,58
Terry Rozier,BOS,PG,74,190,23,2,University of Louisville,1988520,80,2068,153,163,115,900,376,232,80,19,80,123
Xavier Silas,BOS,SG,77,205,30,1,"University of Colorado, Northern Illinois University",74159,2,7,0,0,0,0,2,0,1,0,0,1
Amir Johnson,PHI,C,81,240,30,12,,1.10E+07,74,1171,10,130,52,342,330,118,45,44,55,192
Ben Simmons,PHI,PG,82,230,21,0,Louisiana State University,6168840,81,2732,0,544,191,1279,659,661,140,70,278,211
Dario Saric,PHI,PF,82,223,23,1,,2422560,78,2310,157,246,178,1141,520,202,51,20,148,160
Demetrius Jackson,PHI,PG,73,201,23,1,University of Notre Dame,0,3,17,1,2,1,8,1,4,1,0,1,1
Ersan Ilyasova,PHI,PF,82,235,30,9,,357454,23,554,30,63,33,249,154,39,17,9,29,65
Furkan Korkmaz,PHI,SG,79,185,20,0,,1465920,14,80,5,3,2,23,11,4,2,1,2,12
J.J. Redick,PHI,SG,76,190,33,11,Duke University,2.30E+07,70,2116,193,211,197,1198,178,210,35,6,103,123
Jacob Pullen,PHI,PG,73,200,28,0,Kansas State University,0,3,6,0,1,0,2,0,0,0,0,1,0
James Michael McAdoo,PHI,PF,81,230,25,3,University of North Carolina,0,3,18,2,0,2,8,2,0,0,1,1,1
James Young,PHI,SG,78,215,22,3,University of Kentucky,0,6,61,3,2,4,17,2,2,0,0,1,4
Jerryd Bayless,PHI,SG,75,200,29,9,University of Arizona,9.00E+06,39,925,54,55,35,307,80,54,23,6,46,91
Joel Embiid,PHI,C,84,250,23,1,University of Kansas,6100266,63,1912,66,444,359,1445,690,199,40,111,234,209
Justin Anderson,PHI,SF,78,228,24,2,University of Virginia,1579440,38,519,34,53,28,236,93,25,15,7,16,54
Larry Drew,PHI,PG,74,180,27,1,"University of North Carolina, University of California, Los Angeles",74159,3,15,0,1,0,2,1,2,0,0,1,2
Marco Belinelli,PHI,SG,77,210,31,10,,776217,28,737,57,81,47,380,51,45,20,9,40,50
Markelle Fultz,PHI,SG,76,195,19,0,University of Washington,7026240,14,253,0,45,10,100,43,53,12,4,17,22
Richaun Holmes,PHI,C,82,245,24,2,Bowling Green State University,1471382,48,746,4,131,37,311,211,61,20,29,25,97
Robert Covington,PHI,SF,81,215,27,4,Tennessee State University,16698103,80,2532,203,142,116,1009,433,156,137,72,126,238
T.J. McConnell,PHI,PG,74,200,25,2,"Duquesne University, University of Arizona",1471382,76,1706,27,183,31,478,226,303,92,13,112,122
Timothe Luwawu-Cabarrot,PHI,SF,78,205,22,1,,1386600,52,807,53,47,46,299,72,54,12,5,38,97
Trevor Booker,PHI,PF,80,228,30,7,Clemson University,8725000,33,494,2,59,32,156,122,27,16,11,20,50
Ante Zizic,CLE,C,83,250,21,0,,1645200,32,214,0,49,21,119,60,5,2,13,11,30
Cedi Osman,CLE,SF,80,210,22,0,,2642857,61,672,32,58,26,238,120,41,22,3,32,78
Derrick Rose,CLE,PG,75,190,29,8,University of Memphis,1356709,16,308,6,52,35,157,29,26,3,4,28,14
George Hill,CLE,PG,75,188,31,9,Indiana University-Purdue University Indianapolis,2.00E+07,24,669,27,56,33,226,64,67,22,15,28,53
J.R. Smith,CLE,SG,78,225,32,13,,13760000,80,2244,143,97,39,662,235,141,68,11,81,161
Jeff Green,CLE,PF,81,235,31,9,Georgetown University,2116955,78,1828,53,242,203,846,246,99,41,34,75,149
John Holland,CLE,SF,77,205,29,1,Boston University,0,24,174,11,6,9,54,24,5,7,2,8,10
Jordan Clarkson,CLE,SG,77,194,25,3,"University of Tulsa, University of Missouri",11562500,28,632,44,87,47,353,58,48,19,3,32,44
Jose Calderon,CLE,PG,75,200,36,12,,1471382,57,914,45,48,24,255,84,117,27,2,41,81
